 |1.51424e+108| |1.18679e+108| |9.10255e+107| |1.87418e+108| |1.63407e+108| |1.33682e+108| |1.39261e+108| |1.76862e+108| |1.36177e+108| |2.12206e+108|
 |7.20399e+107| |5.64617e+107| |4.33054e+107| |8.91641e+107| |7.77408e+107| |6.35993e+107| |6.62534e+107| |8.41421e+107| |6.47862e+107| |1.00957e+108|
 |1.47116e+108| |1.15303e+108| |8.84357e+107| |1.82086e+108| |1.58758e+108| |1.29879e+108| |1.35299e+108| |1.71830e+108| |1.32303e+108| |2.06169e+108|
 |1.37419e+108| |1.07703e+108| |8.26067e+107| |1.70084e+108| |1.48294e+108| |1.21318e+108| |1.26381e+108| |1.60504e+108| |1.23582e+108| |1.92580e+108|
 |7.99216e+107| |6.26390e+107| |4.80433e+107| |9.89194e+107| |8.62463e+107| |7.05576e+107| |7.35020e+107| |9.33478e+107| |7.18743e+107| |1.12003e+108|
 |8.23611e+107| |6.45510e+107| |4.95097e+107| |1.01939e+108| |8.88788e+107| |7.27112e+107| |7.57456e+107| |9.61971e+107| |7.40681e+107| |1.15421e+108|
 |1.04200e+108| |8.16673e+107| |6.26377e+107| |1.28969e+108| |1.12446e+108| |9.19914e+107| |9.58303e+107| |1.21705e+108| |9.37081e+107| |1.46026e+108|
 |1.01796e+108| |7.97829e+107| |6.11924e+107| |1.25993e+108| |1.09851e+108| |8.98687e+107| |9.36191e+107| |1.18897e+108| |9.15458e+107| |1.42657e+108|
 |1.35412e+108| |1.06130e+108| |8.14001e+107| |1.67600e+108| |1.46128e+108| |1.19546e+108| |1.24535e+108| |1.58160e+108| |1.21777e+108| |1.89767e+108|
 |7.65863e+107| |6.00249e+107| |4.60383e+107| |9.47912e+107| |8.26470e+107| |6.76130e+107| |7.04346e+107| |8.94522e+107| |6.88748e+107| |1.07328e+108|
